             x           rho             u             p
  -0.49995000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49985000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49975000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49965000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49955000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49945000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49935000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49925000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49915000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49905000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49895000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49885000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49875000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49865000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49855000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49845000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49835000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49825000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49815000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49805000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49795000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49785000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49775000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49765000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49755000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49745000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49735000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49725000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49715000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49705000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49695000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49685000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49675000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49665000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49655000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49645000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49635000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49625000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49615000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49605000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49595000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49585000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49575000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49565000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49555000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49545000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49535000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49525000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49515000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
  -0.49505000000000E+02   0.10000000000000E+01   0.00000000000000E+00   0.20000000000000E+01
